decimal year,new delta e (m),new delta n (m),new delta v (m)
2006.8775,0.0,0.0,0.0
2006.8802,-9.000000000014552e-05,0.004470000043511391,-0.00023000000010142685
2006.883,-0.00525999999999982,0.0043299999088048935,0.0015300000000024738
2006.8857,-0.003220000000005996,0.0031799999997019768,-0.0005999999998493877
2006.8884,-0.004730000000002121,0.004860000219196081,0.004390000000057626
2006.8912,-0.0043199999999998795,0.0042500002309679985,-0.004759999999805586
2006.8939,-0.00408000000000186,0.0037600002251565456,0.001679999999851134
2006.8966,-0.005710000000000548,0.0033599999733269215,0.0023599999999532884
2006.8994,-0.005070000000003461,0.004500000271946192,0.0023700000001554145
2006.9021,-0.004020000000004131,0.004860000219196081,0.0018000000000029104
2006.9049,0.0037299999999973465,0.006390000227838755,0.002060000000255968
2006.9076,-0.000950000000003115,0.003169999923557043,0.009000000000014552
2006.9103,-0.005030000000004975,0.0022200001403689384,0.006170000000111031
2006.9131,-0.0035900000000026466,0.0033499998971819878,0.0019999999999527063
2006.9158,-0.0034400000000047726,0.005100000184029341,0.005079999999907159
2006.9185,-0.007380000000004827,0.0028099999763071537,0.0019600000000536966
2006.9213,-0.0052700000000029945,0.0044200001284480095,0.0038500000000567525
2006.924,-0.0034200000000055297,0.004269999917596579,0.0006899999998495332
2006.9268,-0.0056200000000004025,0.002290000207722187,0.002410000000054424
2006.9295,-0.005770000000005382,0.002739999908953905,0.0025500000001557055
2006.9322,-0.004110000000004277,0.0017200000584125519,0.0008400000001529406
2006.935,-0.005340000000003897,0.00011999998241662979,0.0021400000000539876
2006.9377,-0.0027500000000060254,0.001060000155121088,-0.0020300000001043372
2006.9405,-0.005650000000002819,0.0017400002107024193,0.00603000000000975
2006.9432,-0.007800000000003138,0.0012600002810359001,0.003430000000207656
2006.9459,-0.0012100000000003774,-0.001309999730437994,-0.005439999999907741
2006.9487,-0.006840000000003954,0.0010100002400577068,5.000000010113581e-05
2006.9514,-0.008729999999999905,0.0014499998651444912,0.005660000000261789
2006.9541,-0.007370000000001653,0.001290000043809414,0.001130000000102882
2006.9569,-0.008490000000001885,-0.0002000001259148121,0.0032999999998537533
2006.9596,-0.008470000000002642,0.002950000111013651,0.0006200000002536399
2006.9624,-0.008860000000005641,0.0010400000028312206,0.001119999999900756
2006.9651,-0.005770000000005382,0.001980000175535679,0.0011800000002040179
2006.9678,-0.007130000000003633,0.0003900001756846905,0.001890000000003056
2006.9706,-0.007139999999999702,0.002630000002682209,0.0019999999999527063
2006.9733,-0.0067200000000013915,0.003120000008493662,0.0004100000001017179
2006.976,-0.005040000000001044,0.0007199998944997787,-0.0017400000001543958
2006.9788,-0.005530000000000257,5.9999991208314896e-05,-0.001629999999749998
2006.9815,-0.00607000000000113,8.00001434981823e-05,-0.004959999999755382
2006.9843,-0.0008600000000029695,0.005210000090301037,-0.009839999999712745
2006.987,-0.004930000000001655,0.002410000190138817,0.0016100000002552406
2006.9897,-0.008690000000001419,0.003109999932348728,0.008159999999861611
2006.9925,-0.007370000000001653,0.0029899999499320984,0.0062499999999090505
2006.9952,-0.006660000000003663,0.002350000198930502,-0.0032099999998536077
2006.9979,-0.006270000000000664,0.00215000007301569,-0.006370000000060827
2007.0007,-0.008980000000001098,0.001459999941289425,-1.9999999949504854e-05
2007.0034,-0.008490000000001885,-0.0010699997656047344,-0.0034099999998034036
