decimal year,new delta e (m),new delta n (m),new delta v (m)
2005.9576,0.0,0.0,0.0
2005.9603,-0.00018999999997504347,0.0017200000584125519,-0.00027000000000043656
2005.963,-0.00012999999989915523,-0.0006200000643730164,-0.004300000000000637
2005.9658,-0.0007499999999254214,-0.0019900002516806126,-0.004510000000003345
2005.9685,0.0013800000001538137,0.001029999926686287,-0.0021600000000034925
2005.9713,-0.0006300000000010186,0.001029999926686287,-0.006199999999999761
2005.974,0.0020900000001802255,0.0028999997302889824,0.002940000000002385
2005.9767,-0.0009099999999762076,0.00139999995008111,-0.0024700000000024147
2005.9795,-0.0002399999998488056,0.0011299997568130493,-0.0016999999999995907
2005.9822,-0.0003600000000005821,0.0016999999061226845,0.004069999999998686
2005.9849,-0.0012799999999515421,0.00013999966904520988,-0.0003600000000005821
2005.9877,-0.002169999999978245,0.0004900000058114529,-0.0012499999999988631
2005.9904,-0.00044000000002597517,0.0018099998123943806,-0.0005000000000023874
2005.9932,-0.0006799999998747808,0.0012999996542930603,-0.0012200000000035516
2005.9959,-0.0024699999999029387,0.0017299996688961983,-0.0017899999999997362
2005.9986,-0.0017199999999775173,0.0010999999940395355,0.007359999999998479
2006.0014,-0.0017100000000027649,0.002090000081807375,-0.004120000000000346
2006.0041,-0.0031799999999293505,0.0034799999557435513,0.009729999999997574
2006.0068,-0.004309999999804859,0.0027199997566640377,-0.00952999999999804
2006.0096,-0.0038700000000062573,0.00279999990016222,-0.011459999999999582
2006.0123,-0.0018999999999778083,0.002059999853372574,-0.012729999999997688
2006.0151,-0.00490999999988162,0.000709999818354845,-0.01460999999999757
2006.0178,-0.004849999999805732,0.0008699996396899223,-0.005789999999997519
2006.0205,-0.004230000000006839,0.001569999847561121,-0.0036100000000018895
2006.0233,-0.004039999999804422,0.0027799997478723526,-0.00460000000000349
2006.026,-0.0034899999998287967,0.0019600000232458115,-0.004870000000003927
2006.0287,-0.002790000000004511,0.002829999662935734,-0.0006300000000010186
2006.0315,-0.003939999999829524,0.003539999946951866,-0.00397999999999854
2006.0342,-0.002239999999801512,0.002539999783039093,-0.0010600000000025034
2006.037,-0.0017299999999522697,0.0028899996541440487,-0.0026399999999995316
2006.0397,-0.0035199999999804277,0.002279999665915966,-0.008600000000001273
2006.0424,-0.004579999999805295,0.0007599997334182262,-0.0040300000000002
2006.0452,-0.0038999999999305146,0.0015300000086426735,-0.004719999999998947
2006.0479,-0.004549999999881038,0.0024699997156858444,-0.004120000000000346
2006.0507,-0.003429999999980282,0.003989999648183584,-0.0026799999999980173
2006.0534,-0.002419999999801803,0.003920000046491623,-0.003680000000002792
2006.0561,-0.0037699999998039857,0.00279999990016222,-0.004370000000001539
2006.0589,-0.00356999999985419,0.0020399997010827065,-0.00612000000000279
2006.0616,-0.004189999999880456,0.0032500000670552254,-0.004590000000000316
2006.0643,-0.00356999999985419,0.00203000009059906,-0.002400000000001512
2006.0671,-0.00433999999995649,0.0006499998271465302,-0.0018200000000021532
2006.0698,-0.0027399999999033753,0.00139999995008111,-0.00683000000000078
2006.0726,-0.00261000000000422,0.0015400000847876072,-0.0013800000000045998
2006.0753,-0.0031999999998788553,0.002199999988079071,-0.005760000000002208
2006.078,-0.003369999999904394,-0.0004100003279745579,-0.006050000000001887
2006.0808,-0.0037599999998292333,0.0008299998007714748,-0.0021300000000010755
2006.0835,-0.003829999999879874,0.001509999856352806,-0.00426999999999822
2006.0862,-0.004089999999905558,0.0005199997685849667,0.00046999999999997044
2006.089,-0.005760000000009313,0.0025100000202655792,0.001239999999995689
2006.0917,-0.009109999999964202,0.002339999657124281,-0.0023200000000045407
2006.0945,-0.005919999999832726,0.0012599998153746128,-0.001510000000003231
2006.0972,-0.0050199999998312705,0.0012199999764561653,0.0008199999999973784
2006.0999,-0.004919999999856373,0.0015199999324977398,-0.003959999999999297
2006.1027,-0.005209999999806314,0.002539999783039093,-0.006450000000000955
2006.1054,-0.0033899999998538988,0.0032699997536838055,-0.006340000000001567
2006.1081,-0.004239999999981592,0.0035899998620152473,-0.001310000000003697
2006.1109,-0.005069999999932406,0.0028099999763071537,-0.005859999999998422
2006.1136,-0.003809999999930369,0.0007699998095631599,-0.005569999999998743
2006.1164,-0.004979999999932261,0.0030999998562037945,-0.008380000000002497
2006.1191,-0.0041999999998552084,0.0032999999821186066,-0.004989999999999384
2006.1218,-0.004929999999831125,0.002649999689310789,0.0026299999999963575
2006.1246,-0.0038399999998546264,0.0034199999645352364,-0.0032100000000028217
2006.1273,-0.0030199999998785643,0.003709999844431877,-0.002549999999999386
2006.13,-0.003960000000006403,0.0036100000143051147,-0.0032399999999981333
2006.1328,-0.002970000000004802,0.0037599997594952583,0.0017099999999956594
2006.1355,-0.003809999999930369,0.0018599997274577618,0.0007699999999957186
2006.1383,-0.004999999999881766,0.002940000034868717,-0.0032399999999981333
2006.141,-0.004249999999956344,0.0023499997332692146,-0.002029999999997756
2006.1437,-0.004079999999930806,0.00395999988541007,-0.0011399999999994748
2006.1465,-0.0029999999999290594,0.0036899996921420097,0.001069999999998572
2006.1492,-0.0032400000000052387,0.003279999829828739,-0.004809999999999093
2006.152,-0.002399999999852298,0.0036800000816583633,-0.0005200000000016303
2006.1547,-0.005079999999907159,0.003719999920576811,0.0026900000000011914
